,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0
0,152573.0,1.0,0.0,3.0,58.0,-1.0
1,216713.0,1.0,0.0,3.0,69.0,-0.0
2,133039.0,1.0,1.0,2.0,56.0,-1.0
3,266136.0,1.0,0.0,3.0,71.0,-0.0
4,164867.0,1.0,0.0,3.0,66.0,-0.0
5,148457.0,1.0,0.0,3.0,60.0,-1.0
6,174636.0,1.0,1.0,3.0,64.0,-0.0
7,196173.0,1.0,1.0,3.0,67.0,-0.0
8,242008.0,1.0,0.0,3.0,70.0,-1.0
9,163992.0,1.0,1.0,3.0,72.0,0.0
10,118358.0,1.0,1.0,3.0,65.0,-0.0
11,163123.0,1.0,1.0,3.0,63.0,-1.0
12,93058.0,1.0,1.0,3.0,68.0,-0.0
13,317727.0,1.0,0.0,3.0,65.0,-0.0
14,214453.0,1.0,0.0,3.0,75.0,-0.0
15,109595.0,1.0,0.0,2.0,50.0,-1.0
16,169048.0,1.0,1.0,3.0,67.0,-0.0
17,105962.0,1.0,1.0,2.0,53.0,-1.0
18,144392.0,1.0,0.0,3.0,61.0,-1.0
19,269504.0,1.0,0.0,3.0,73.0,-0.0
20,160415.0,1.0,1.0,3.0,69.0,0.0
21,155481.0,1.0,1.0,3.0,74.0,-0.0
22,148919.0,1.0,1.0,3.0,67.0,-1.0
23,95898.0,1.0,1.0,2.0,51.0,-1.0
24,115843.0,1.0,0.0,3.0,61.0,-1.0
25,140372.0,1.0,0.0,3.0,58.0,-1.0
26,126601.0,1.0,0.0,3.0,63.0,-1.0
27,152989.0,1.0,0.0,3.0,61.0,-1.0
28,171473.0,1.0,0.0,3.0,63.0,-0.0
29,124983.0,1.0,1.0,3.0,65.0,-1.0
30,128406.0,1.0,0.0,3.0,68.0,-1.0
31,125960.0,1.0,0.0,3.0,66.0,-1.0
32,105036.0,1.0,0.0,2.0,53.0,-1.0
33,118301.0,1.0,1.0,3.0,66.0,-0.0
34,244121.0,1.0,0.0,3.0,69.0,-0.0
35,294140.0,1.0,1.0,3.0,67.0,-0.0
36,111884.0,1.0,1.0,3.0,64.0,-1.0
37,168135.0,1.0,0.0,3.0,61.0,-1.0
38,214247.0,1.0,0.0,3.0,72.0,0.0
39,137108.0,1.0,1.0,3.0,68.0,-0.0
40,160954.0,1.0,1.0,3.0,62.0,-0.0
41,236848.0,1.0,0.0,3.0,62.0,-1.0
42,156498.0,1.0,1.0,3.0,72.0,0.0
43,105505.0,1.0,1.0,3.0,75.0,0.0
44,129759.0,1.0,1.0,3.0,68.0,-0.0
45,156442.0,1.0,1.0,3.0,70.0,-0.0
46,95250.0,1.0,1.0,2.0,55.0,-1.0
47,110181.0,1.0,1.0,3.0,69.0,-0.0
48,247367.0,1.0,0.0,3.0,68.0,-0.0
49,127597.0,1.0,1.0,3.0,60.0,-1.0
50,129360.0,1.0,1.0,2.0,54.0,-1.0
51,184057.0,1.0,1.0,3.0,70.0,-1.0
52,113874.0,1.0,1.0,3.0,60.0,-1.0
53,138526.0,1.0,0.0,3.0,68.0,-1.0
54,171190.0,1.0,0.0,3.0,57.0,-1.0
55,108460.0,1.0,1.0,3.0,62.0,-1.0
56,96142.0,1.0,1.0,2.0,49.0,-1.0
57,194029.0,1.0,0.0,3.0,73.0,-0.0
58,122030.0,1.0,1.0,3.0,62.0,-1.0
59,174513.0,1.0,1.0,3.0,59.0,-1.0
60,144885.0,1.0,1.0,3.0,66.0,-0.0
61,179066.0,1.0,0.0,3.0,65.0,-1.0
62,134351.0,1.0,1.0,3.0,60.0,-1.0
63,110437.0,1.0,1.0,2.0,55.0,-1.0
64,130379.0,1.0,1.0,3.0,58.0,-1.0
65,91466.0,1.0,0.0,2.0,48.0,-1.0
66,147752.0,1.0,1.0,3.0,64.0,-1.0
67,101629.0,1.0,0.0,3.0,71.0,-1.0
68,147925.0,1.0,1.0,3.0,57.0,-1.0
69,152341.0,1.0,1.0,3.0,62.0,-1.0
70,113328.0,1.0,1.0,3.0,56.0,-1.0
