,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0
0,49984.0,1.0,2.0,2.0,34.0,-1.0
1,53270.0,1.0,3.0,2.0,40.0,-1.0
2,70643.0,1.0,2.0,2.0,42.0,-1.0
3,264399.0,1.0,2.0,2.0,37.0,-1.0
4,78767.0,1.0,3.0,2.0,50.0,-1.0
5,152889.0,1.0,2.0,2.0,42.0,-0.0
6,111432.0,1.0,3.0,2.0,33.0,-0.0
7,78941.0,1.0,2.0,2.0,39.0,-1.0
8,209121.0,1.0,2.0,2.0,46.0,0.0
9,111498.0,1.0,3.0,2.0,44.0,-0.0
10,67502.0,1.0,2.0,2.0,40.0,-1.0
11,128059.0,1.0,3.0,2.0,50.0,-0.0
12,109001.0,1.0,2.0,2.0,40.0,-1.0
13,32019.0,1.0,3.0,2.0,45.0,-1.0
14,299406.0,1.0,3.0,3.0,46.0,0.0
15,153475.0,1.0,3.0,3.0,53.0,-1.0
16,107398.0,1.0,2.0,3.0,56.0,-1.0
17,292568.0,1.0,4.0,3.0,49.0,1.0
18,307750.0,1.0,2.0,2.0,45.0,-0.0
19,38780.0,1.0,3.0,2.0,35.0,-1.0
20,214111.0,1.0,3.0,3.0,36.0,1.0
21,147192.0,1.0,2.0,2.0,42.0,-1.0
22,103549.0,1.0,2.0,2.0,45.0,-1.0
23,62473.0,1.0,2.0,2.0,49.0,-1.0
24,47223.0,1.0,2.0,2.0,36.0,-1.0
25,104376.0,1.0,3.0,2.0,44.0,-1.0
26,44975.0,1.0,2.0,2.0,35.0,-1.0
27,25073.0,1.0,3.0,2.0,42.0,-1.0
28,330242.0,1.0,3.0,2.0,44.0,0.0
29,-19225.0,1.0,3.0,2.0,47.0,-0.0
30,32618.0,1.0,2.0,2.0,37.0,-2.0
31,44208.0,1.0,3.0,2.0,40.0,-1.0
32,-8586.0,1.0,3.0,2.0,50.0,-0.0
33,87924.0,1.0,3.0,3.0,56.0,-0.0
34,-20454.0,1.0,2.0,2.0,39.0,-1.0
35,90399.0,1.0,2.0,2.0,45.0,-1.0
36,63249.0,1.0,2.0,2.0,34.0,-1.0
37,11979.0,1.0,2.0,2.0,44.0,-1.0
38,104711.0,1.0,2.0,2.0,48.0,-1.0
39,36560.0,1.0,2.0,1.0,32.0,-1.0
40,138718.0,1.0,2.0,2.0,40.0,-1.0
41,149125.0,1.0,2.0,2.0,32.0,-0.0
42,168993.0,1.0,2.0,2.0,39.0,-1.0
43,71115.0,1.0,2.0,2.0,37.0,-1.0
44,190808.0,1.0,2.0,3.0,41.0,-0.0
45,106417.0,1.0,3.0,3.0,54.0,-1.0
46,74427.0,1.0,2.0,2.0,40.0,-1.0
47,423559.0,1.0,3.0,3.0,39.0,0.0
48,-22125.0,1.0,3.0,3.0,41.0,-1.0
49,53507.0,1.0,2.0,2.0,47.0,-1.0
50,46109.0,1.0,2.0,2.0,35.0,-1.0
51,71365.0,1.0,3.0,2.0,41.0,-1.0
52,44049.0,1.0,3.0,2.0,37.0,-1.0
53,217468.0,1.0,2.0,2.0,35.0,-0.0
54,241802.0,1.0,3.0,3.0,41.0,0.0
55,18940.0,1.0,3.0,2.0,50.0,-0.0
56,65623.0,1.0,1.0,2.0,34.0,-1.0
57,119349.0,1.0,2.0,2.0,52.0,-1.0
58,187795.0,1.0,2.0,2.0,38.0,-0.0
59,218244.0,1.0,3.0,3.0,41.0,-0.0
60,65003.0,1.0,2.0,2.0,39.0,-1.0
61,-61.0,1.0,3.0,3.0,48.0,-1.0
62,232031.0,1.0,2.0,2.0,39.0,-0.0
63,227989.0,1.0,2.0,2.0,44.0,0.0
64,-22596.0,1.0,3.0,3.0,67.0,-2.0
65,195634.0,1.0,3.0,2.0,55.0,-1.0
66,143447.0,1.0,3.0,3.0,51.0,-0.0
67,102740.0,1.0,2.0,1.0,35.0,-1.0
68,102235.0,1.0,2.0,2.0,34.0,-1.0
69,21237.0,1.0,3.0,2.0,41.0,-1.0
70,69653.0,1.0,2.0,2.0,39.0,-1.0
71,87158.0,1.0,3.0,3.0,42.0,-1.0
72,87482.0,1.0,2.0,2.0,39.0,-1.0
73,368151.0,1.0,3.0,3.0,39.0,1.0
74,136572.0,1.0,3.0,2.0,44.0,-1.0
75,129489.0,1.0,3.0,2.0,47.0,-0.0
76,140087.0,1.0,2.0,2.0,45.0,-1.0
77,-11047.0,1.0,3.0,3.0,52.0,-1.0
78,137769.0,1.0,2.0,2.0,46.0,-1.0
79,218171.0,1.0,2.0,2.0,41.0,0.0
80,42105.0,1.0,2.0,2.0,40.0,-1.0
81,-48892.0,1.0,4.0,3.0,48.0,-1.0
82,65323.0,1.0,3.0,2.0,37.0,-1.0
83,58465.0,1.0,2.0,2.0,44.0,-1.0
84,183612.0,1.0,3.0,2.0,38.0,-0.0
85,143533.0,1.0,3.0,3.0,47.0,-0.0
86,115897.0,1.0,2.0,2.0,52.0,-0.0
87,107566.0,1.0,3.0,3.0,55.0,0.0
88,76734.0,1.0,3.0,2.0,51.0,-1.0
89,213128.0,1.0,2.0,2.0,36.0,-0.0
90,103082.0,1.0,3.0,2.0,62.0,-1.0
91,290453.0,1.0,2.0,2.0,37.0,-0.0
92,148208.0,1.0,3.0,2.0,46.0,-1.0
93,202451.0,1.0,2.0,2.0,40.0,-0.0
94,74380.0,1.0,2.0,2.0,41.0,-1.0
95,57487.0,1.0,3.0,2.0,43.0,-1.0
96,-77061.0,1.0,4.0,3.0,55.0,-1.0
97,262927.0,1.0,2.0,2.0,44.0,-1.0
98,86592.0,1.0,2.0,2.0,35.0,-1.0
99,182569.0,1.0,2.0,2.0,36.0,-1.0
100,150732.0,1.0,3.0,2.0,38.0,-0.0
101,148498.0,1.0,3.0,3.0,59.0,-1.0
102,121589.0,1.0,2.0,2.0,38.0,-1.0
103,108907.0,1.0,2.0,3.0,45.0,-0.0
104,26522.0,1.0,3.0,2.0,43.0,-1.0
105,147929.0,1.0,2.0,2.0,37.0,-0.0
106,148710.0,1.0,2.0,2.0,35.0,-1.0
107,107917.0,1.0,2.0,1.0,31.0,-1.0
108,79415.0,1.0,2.0,2.0,46.0,-1.0
109,115101.0,1.0,2.0,2.0,49.0,-1.0
110,157996.0,1.0,2.0,2.0,43.0,-0.0
111,127600.0,1.0,2.0,2.0,44.0,-1.0
112,69751.0,1.0,2.0,2.0,47.0,-1.0
113,63743.0,1.0,3.0,3.0,38.0,-1.0
114,172023.0,1.0,2.0,2.0,38.0,-0.0
115,93861.0,1.0,2.0,2.0,53.0,-1.0
116,72665.0,1.0,2.0,2.0,43.0,-1.0
117,48555.0,1.0,1.0,1.0,35.0,-1.0
118,114177.0,1.0,2.0,2.0,41.0,-1.0
