,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0
0,44278.0,2.0,2.0,2.0,34.0,1.0
1,92686.0,2.0,3.0,1.0,35.0,1.0
2,128837.0,2.0,1.0,2.0,33.0,0.0
3,111050.0,2.0,2.0,2.0,32.0,-0.0
4,70642.0,2.0,2.0,2.0,38.0,0.0
5,43343.0,2.0,2.0,2.0,34.0,0.0
6,104859.0,2.0,2.0,2.0,30.0,1.0
7,76031.0,2.0,2.0,2.0,32.0,1.0
8,149606.0,2.0,2.0,2.0,27.0,1.0
9,149126.0,2.0,1.0,2.0,27.0,1.0
10,121374.0,2.0,2.0,2.0,37.0,2.0
11,61681.0,2.0,2.0,2.0,30.0,0.0
12,124189.0,2.0,1.0,2.0,34.0,1.0
13,221703.0,2.0,2.0,2.0,35.0,2.0
14,-6653.0,2.0,2.0,2.0,34.0,1.0
15,72877.0,2.0,1.0,2.0,31.0,2.0
16,96970.0,2.0,2.0,2.0,31.0,1.0
17,39790.0,2.0,2.0,1.0,29.0,1.0
18,52388.0,2.0,2.0,2.0,32.0,0.0
19,47399.0,2.0,2.0,2.0,31.0,1.0
20,28903.0,2.0,1.0,2.0,38.0,1.0
21,147526.0,2.0,2.0,2.0,32.0,0.0
22,13330.0,2.0,2.0,2.0,30.0,0.0
23,78582.0,2.0,2.0,2.0,29.0,1.0
24,-11845.0,2.0,2.0,2.0,34.0,-0.0
25,55622.0,2.0,2.0,2.0,35.0,2.0
26,97708.0,2.0,2.0,2.0,26.0,1.0
27,137007.0,2.0,2.0,2.0,33.0,1.0
28,30683.0,2.0,2.0,2.0,36.0,0.0
29,69763.0,2.0,3.0,2.0,29.0,1.0
30,1546.0,2.0,1.0,2.0,37.0,0.0
31,64997.0,2.0,2.0,2.0,32.0,-0.0
32,86906.0,2.0,3.0,2.0,26.0,1.0
33,95514.0,2.0,2.0,2.0,28.0,1.0
34,56662.0,2.0,2.0,2.0,32.0,-0.0
35,36060.0,2.0,2.0,2.0,34.0,0.0
36,18376.0,2.0,2.0,2.0,32.0,0.0
37,139784.0,2.0,2.0,2.0,30.0,2.0
38,17907.0,2.0,2.0,2.0,39.0,1.0
39,58059.0,2.0,2.0,2.0,31.0,0.0
40,84109.0,2.0,1.0,2.0,26.0,0.0
41,62295.0,2.0,2.0,2.0,41.0,1.0
42,-4220.0,2.0,1.0,2.0,28.0,0.0
43,16778.0,2.0,2.0,2.0,26.0,1.0
44,106337.0,2.0,1.0,2.0,26.0,1.0
45,130593.0,2.0,2.0,2.0,37.0,-0.0
