,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,def_pay
0,20000.0,2,2,1,24,2,1
1,120000.0,2,2,2,26,-1,1
2,90000.0,2,2,2,34,0,0
3,50000.0,2,2,1,37,0,0
4,50000.0,1,2,1,57,-1,0
5,50000.0,1,1,2,37,0,0
6,500000.0,1,1,2,29,0,0
7,100000.0,2,2,2,23,0,0
8,140000.0,2,3,1,28,0,0
9,20000.0,1,3,2,35,-2,0
10,200000.0,2,3,2,34,0,0
11,260000.0,2,1,2,51,-1,0
12,630000.0,2,2,2,41,-1,0
13,70000.0,1,2,2,30,1,1
14,250000.0,1,1,2,29,0,0
15,50000.0,2,3,3,23,1,0
16,20000.0,1,1,2,24,0,1
17,320000.0,1,1,1,49,0,0
18,360000.0,2,1,1,49,1,0
19,180000.0,2,1,2,29,1,0
20,130000.0,2,3,2,39,0,0
21,120000.0,2,2,1,39,-1,1
22,70000.0,2,2,2,26,2,1
23,450000.0,2,1,1,40,-2,1
24,90000.0,1,1,2,23,0,0
25,50000.0,1,3,2,23,0,0
26,60000.0,1,1,2,27,1,1
27,50000.0,2,3,2,30,0,0
28,50000.0,2,3,1,47,-1,0
29,50000.0,1,1,2,26,0,0
30,230000.0,2,1,2,27,-1,0
31,50000.0,1,2,2,33,2,1
32,100000.0,1,1,2,32,0,0
33,500000.0,2,2,1,54,-2,0
34,500000.0,1,1,1,58,-2,0
35,160000.0,1,1,2,30,-1,0
36,280000.0,1,2,1,40,0,0
37,60000.0,2,2,2,22,0,0
38,50000.0,1,1,2,25,1,1
39,280000.0,1,1,2,31,-1,0
40,360000.0,1,1,2,33,0,0
41,70000.0,2,1,2,25,0,0
42,10000.0,1,2,2,22,0,0
43,140000.0,2,2,1,37,0,0
44,40000.0,2,1,2,30,0,0
45,210000.0,1,1,2,29,-2,1
46,20000.0,2,1,2,22,0,1
47,150000.0,2,5,2,46,0,1
48,380000.0,1,2,2,32,-1,0
49,20000.0,1,1,2,24,0,0
50,70000.0,1,3,2,42,1,1
51,100000.0,2,3,3,43,0,0
52,310000.0,2,2,1,49,-2,0
53,180000.0,2,1,2,25,1,0
54,150000.0,2,1,2,29,2,0
55,500000.0,2,1,1,45,-2,0
56,180000.0,2,3,1,34,0,0
57,180000.0,2,2,1,34,0,0
58,200000.0,2,1,2,34,-1,0
59,400000.0,2,2,1,29,0,0
60,500000.0,2,3,1,28,0,1
61,70000.0,1,2,1,39,0,0
62,50000.0,1,1,2,29,2,1
63,50000.0,2,2,1,46,0,1
64,130000.0,2,2,1,51,-1,0
65,200000.0,1,1,1,57,-2,1
66,10000.0,1,2,1,56,2,1
67,210000.0,2,1,2,30,2,0
68,130000.0,2,3,2,29,1,0
69,20000.0,1,5,2,22,2,0
70,80000.0,1,1,2,31,-1,0
71,320000.0,1,2,2,29,2,1
72,200000.0,2,2,1,32,-1,0
73,290000.0,2,1,2,37,1,0
74,340000.0,1,1,2,32,-1,0
75,20000.0,1,2,2,24,0,0
76,50000.0,1,3,2,25,-1,0
77,300000.0,2,1,1,45,-1,0
78,30000.0,2,2,2,22,0,1
79,240000.0,2,2,2,44,1,1
80,470000.0,2,3,3,33,0,0
81,360000.0,2,1,2,26,0,0
82,60000.0,1,3,2,30,0,1
83,400000.0,2,2,1,44,0,0
84,50000.0,2,3,2,49,0,0
85,160000.0,1,2,2,33,0,0
86,360000.0,2,1,1,45,-1,1
87,160000.0,2,2,2,32,0,0
88,130000.0,2,1,1,35,0,0
89,20000.0,1,3,2,44,2,0
90,200000.0,1,1,1,53,2,1
91,280000.0,2,1,2,39,-1,0
92,100000.0,2,1,2,27,-2,0
93,160000.0,2,2,1,37,-1,0
94,60000.0,2,2,2,23,0,0
95,90000.0,1,2,2,35,0,0
96,360000.0,1,1,1,43,-1,0
97,150000.0,1,1,2,27,0,0
98,50000.0,2,3,1,22,0,0
99,20000.0,1,2,1,38,0,1
100,140000.0,1,1,2,32,-2,0
101,380000.0,2,1,2,30,-2,0
102,480000.0,1,1,1,63,0,0
103,50000.0,2,3,2,22,0,1
104,60000.0,2,2,2,26,2,0
105,70000.0,2,2,2,24,-1,0
106,80000.0,2,2,1,36,-1,0
107,350000.0,1,1,2,52,-1,0
108,130000.0,1,2,2,38,0,0
109,360000.0,1,2,1,35,1,0
110,330000.0,2,1,1,31,0,0
111,50000.0,1,3,1,47,0,0
112,280000.0,1,2,1,41,2,0
113,100000.0,2,1,2,24,0,0
114,50000.0,1,2,2,41,0,0
115,30000.0,1,1,2,24,-1,1
116,240000.0,1,1,2,28,-1,0
117,80000.0,1,2,2,26,2,1
118,400000.0,1,2,1,34,-1,0
119,240000.0,2,2,2,38,0,0
