,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,def_pay
0,20000.0,2,2,1,24,2,1
1,120000.0,2,2,2,26,-1,1
13,70000.0,1,2,2,30,1,1
16,20000.0,1,1,2,24,0,1
21,120000.0,2,2,1,39,-1,1
22,70000.0,2,2,2,26,2,1
23,450000.0,2,1,1,40,-2,1
26,60000.0,1,1,2,27,1,1
31,50000.0,1,2,2,33,2,1
38,50000.0,1,1,2,25,1,1
45,210000.0,1,1,2,29,-2,1
46,20000.0,2,1,2,22,0,1
47,150000.0,2,5,2,46,0,1
50,70000.0,1,3,2,42,1,1
60,500000.0,2,3,1,28,0,1
62,50000.0,1,1,2,29,2,1
63,50000.0,2,2,1,46,0,1
65,200000.0,1,1,1,57,-2,1
66,10000.0,1,2,1,56,2,1
71,320000.0,1,2,2,29,2,1
78,30000.0,2,2,2,22,0,1
79,240000.0,2,2,2,44,1,1
82,60000.0,1,3,2,30,0,1
86,360000.0,2,1,1,45,-1,1
90,200000.0,1,1,1,53,2,1
99,20000.0,1,2,1,38,0,1
103,50000.0,2,3,2,22,0,1
115,30000.0,1,1,2,24,-1,1
117,80000.0,1,2,2,26,2,1
120,50000.0,1,3,2,37,2,1
121,450000.0,1,1,1,40,1,1
123,310000.0,2,2,1,35,2,1
127,180000.0,1,1,1,36,0,1
128,50000.0,1,2,1,51,0,1
138,50000.0,2,3,1,51,-1,1
140,240000.0,1,1,2,47,1,1
146,170000.0,2,2,2,27,0,1
158,210000.0,1,3,1,45,2,1
173,50000.0,2,1,2,24,1,1
175,130000.0,1,3,1,56,1,1
183,60000.0,2,2,1,24,0,1
185,100000.0,2,2,1,38,1,1
187,200000.0,2,3,2,47,2,1
191,60000.0,2,1,2,27,2,1
195,50000.0,2,1,2,24,1,1
199,30000.0,2,3,2,22,1,1
207,210000.0,2,2,1,41,-1,1
208,80000.0,2,2,2,24,0,1
211,210000.0,2,1,1,38,1,1
216,240000.0,2,2,1,36,1,1
220,360000.0,2,1,1,40,2,1
224,50000.0,2,3,2,37,1,1
228,50000.0,1,2,2,23,2,1
231,20000.0,1,2,2,23,1,1
233,190000.0,1,2,2,34,2,1
238,240000.0,2,3,1,50,0,1
239,140000.0,2,2,3,41,0,1
252,140000.0,2,2,2,26,0,1
259,220000.0,1,1,1,48,2,1
267,130000.0,2,3,2,49,0,1
269,50000.0,1,2,2,27,3,1
272,260000.0,2,1,2,58,1,1
274,360000.0,2,2,2,28,-2,1
276,460000.0,1,1,1,40,2,1
288,100000.0,2,2,2,25,2,1
290,280000.0,1,1,2,33,-1,1
291,50000.0,2,2,2,22,1,1
293,10000.0,1,2,2,27,0,1
299,300000.0,1,1,2,34,1,1
303,20000.0,2,1,2,25,0,1
308,30000.0,1,3,1,55,2,1
313,200000.0,2,3,1,49,-1,1
315,60000.0,1,2,2,23,0,1
320,110000.0,1,2,2,29,1,1
323,230000.0,2,2,1,28,0,1
326,220000.0,2,2,1,41,-1,1
327,60000.0,2,2,1,34,2,1
330,200000.0,2,2,1,37,1,1
331,130000.0,2,2,2,40,0,1
338,50000.0,2,2,1,31,0,1
347,50000.0,2,2,2,29,0,1
349,30000.0,2,2,2,26,0,1
352,380000.0,1,1,2,30,1,1
355,180000.0,1,2,1,45,-1,1
360,500000.0,2,2,2,23,4,1
363,110000.0,1,1,1,40,1,1
369,20000.0,2,2,1,32,3,1
370,180000.0,1,2,1,36,2,1
379,50000.0,1,2,2,31,0,1
381,50000.0,2,2,1,37,2,1
383,170000.0,2,2,2,28,-1,1
387,80000.0,1,3,1,73,-1,1
389,260000.0,1,1,1,30,-1,1
391,280000.0,2,2,1,39,1,1
402,150000.0,1,1,2,41,-1,1
404,160000.0,2,1,2,29,2,1
410,60000.0,2,1,2,23,1,1
413,230000.0,2,2,2,27,1,1
419,260000.0,2,1,2,36,1,1
423,200000.0,1,2,1,38,2,1
426,20000.0,2,3,2,49,2,1
427,170000.0,2,1,2,31,-1,1
431,390000.0,2,1,2,27,0,1
435,270000.0,2,2,1,32,1,1
439,80000.0,2,1,2,23,0,1
444,240000.0,1,1,2,44,0,1
450,380000.0,1,1,1,51,1,1
451,600000.0,1,1,1,53,2,1
459,70000.0,1,2,1,48,0,1
465,230000.0,1,1,1,59,-1,1
466,220000.0,1,1,2,38,0,1
470,390000.0,2,3,2,35,0,1
481,140000.0,1,2,2,26,0,1
488,220000.0,2,2,1,36,-1,1
494,80000.0,2,1,1,28,0,1
503,130000.0,2,1,1,33,0,1
511,120000.0,2,2,2,35,-1,1
513,50000.0,1,2,2,23,2,1
522,360000.0,1,1,2,28,-1,1
523,140000.0,2,2,1,42,0,1
