,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0
0,200000.0,2,2,1,36,-1
1,280000.0,1,1,1,45,-1
2,80000.0,2,3,1,39,-1
3,280000.0,2,1,2,29,-1
4,130000.0,2,2,2,23,2
5,160000.0,2,2,1,49,0
6,20000.0,2,2,2,23,2
7,300000.0,2,2,2,32,0
8,100000.0,2,1,2,32,0
9,130000.0,1,2,1,38,-1
10,500000.0,1,1,1,55,2
11,200000.0,2,2,1,27,1
12,360000.0,2,1,2,30,0
13,20000.0,2,2,1,26,1
14,400000.0,1,2,2,29,1
15,200000.0,2,3,1,52,1
16,30000.0,2,5,1,60,0
17,30000.0,1,2,1,58,-1
18,50000.0,1,2,1,55,1
19,230000.0,2,1,1,51,-1
20,210000.0,2,1,1,36,1
21,50000.0,2,1,2,49,2
22,170000.0,2,5,1,33,0
23,230000.0,1,1,1,44,-1
24,230000.0,2,1,2,48,0
25,350000.0,2,1,1,36,0
26,170000.0,2,1,2,36,-1
27,150000.0,2,2,1,36,2
28,90000.0,2,2,1,27,-1
29,320000.0,2,1,2,33,-2
30,120000.0,2,2,2,45,0
31,20000.0,2,3,1,56,2
32,280000.0,2,1,1,41,2
33,90000.0,2,2,2,28,0
34,450000.0,1,1,1,30,0
35,270000.0,1,2,2,27,0
36,80000.0,2,2,1,41,0
37,230000.0,2,2,1,41,0
38,50000.0,2,2,1,30,-1
39,250000.0,1,1,1,48,0
40,220000.0,2,1,2,42,-1
41,30000.0,2,1,1,38,0
42,120000.0,1,2,2,68,2
43,100000.0,2,2,2,26,0
44,150000.0,2,1,2,25,3
45,670000.0,1,1,2,28,0
46,200000.0,1,1,1,36,-1
47,70000.0,2,3,1,47,0
48,50000.0,2,2,1,41,1
49,80000.0,2,2,2,64,2
50,10000.0,1,1,2,23,2
51,140000.0,2,1,1,37,0
52,30000.0,2,2,2,21,0
53,200000.0,1,2,2,36,0
54,90000.0,2,2,2,24,0
55,130000.0,2,2,1,52,1
56,160000.0,2,2,2,26,-1
57,150000.0,2,3,1,58,-2
58,150000.0,2,1,2,34,-2
59,20000.0,1,1,2,24,-1
60,80000.0,2,1,2,26,-1
61,460000.0,1,2,1,31,0
62,60000.0,2,3,1,40,1
63,50000.0,1,2,1,38,0
64,200000.0,2,3,1,35,0
65,60000.0,2,2,1,30,0
66,200000.0,1,1,1,31,-1
67,230000.0,1,1,1,33,0
68,50000.0,1,2,1,38,0
69,60000.0,2,3,2,51,0
70,180000.0,1,2,1,47,-1
71,50000.0,2,2,1,47,0
72,150000.0,1,3,1,62,1
73,140000.0,2,2,1,36,-1
74,120000.0,1,1,1,35,1
75,200000.0,2,1,1,39,0
76,500000.0,1,1,2,31,1
77,120000.0,2,2,1,36,2
78,500000.0,1,1,2,28,-2
79,50000.0,2,3,2,23,0
80,30000.0,2,3,2,51,0
81,240000.0,1,1,1,35,-2
82,170000.0,2,2,1,37,1
83,80000.0,1,1,2,26,1
84,360000.0,1,1,2,29,-1
85,50000.0,2,2,2,24,2
86,70000.0,2,2,1,27,2
87,250000.0,2,2,1,29,2
88,150000.0,2,1,1,39,1
89,100000.0,2,2,1,41,-2
90,360000.0,1,1,2,32,-2
91,30000.0,2,3,1,47,-2
92,490000.0,1,1,1,29,-1
93,180000.0,2,2,1,60,2
94,420000.0,2,1,1,36,-1
95,20000.0,1,1,2,33,2
96,480000.0,1,1,1,47,0
97,350000.0,1,1,2,27,1
98,360000.0,1,2,1,57,1
99,240000.0,2,1,2,27,-2
100,280000.0,2,1,2,30,-1
101,150000.0,2,2,1,39,0
102,320000.0,1,2,2,30,0
103,20000.0,2,2,2,22,-1
104,50000.0,2,3,1,36,0
105,280000.0,1,1,2,33,0
106,450000.0,2,2,1,53,-2
107,260000.0,2,1,2,53,0
108,500000.0,1,1,1,56,0
109,470000.0,1,1,2,35,0
110,150000.0,2,2,2,23,0
111,100000.0,2,3,1,46,0
112,100000.0,1,1,2,38,1
113,220000.0,1,2,2,39,-1
114,300000.0,2,1,2,37,1
115,230000.0,2,1,2,31,-2
116,300000.0,2,3,2,39,1
117,50000.0,1,3,2,48,0
118,170000.0,1,3,1,47,-2
119,460000.0,1,1,1,41,-1
120,30000.0,2,1,2,34,1
121,30000.0,2,1,2,24,-1
122,20000.0,1,2,1,42,0
123,220000.0,1,3,1,44,-1
124,70000.0,2,1,1,62,0
125,330000.0,2,2,2,40,2
126,370000.0,1,1,1,40,1
127,230000.0,1,1,2,28,-2
128,50000.0,1,3,1,49,0
129,360000.0,1,2,2,31,0
130,390000.0,2,2,2,37,0
131,360000.0,2,2,3,42,0
132,30000.0,2,2,1,27,0
133,500000.0,1,1,1,33,1
134,120000.0,2,3,2,32,0
135,360000.0,1,1,2,29,-2
136,20000.0,2,2,1,27,0
137,50000.0,2,2,1,48,0
138,230000.0,2,1,2,27,1
139,160000.0,2,1,1,48,1
140,110000.0,2,1,1,32,2
141,50000.0,1,2,2,25,2
142,30000.0,1,3,2,28,2
143,50000.0,1,2,2,35,0
144,240000.0,2,3,1,37,-2
145,90000.0,1,3,2,29,0
146,150000.0,2,1,1,29,-1
147,100000.0,2,2,1,35,3
148,70000.0,2,1,2,24,2
149,430000.0,2,2,2,27,-2
150,150000.0,1,1,2,31,0
151,50000.0,1,1,2,48,0
152,200000.0,1,1,2,33,-2
153,150000.0,2,2,1,28,0
154,50000.0,1,2,2,25,0
155,300000.0,1,1,2,31,0
156,50000.0,2,2,1,44,0
157,30000.0,1,1,2,30,1
158,380000.0,1,1,1,53,1
159,70000.0,2,1,1,45,1
160,360000.0,1,2,2,28,0
161,50000.0,1,2,2,41,0
162,20000.0,2,1,2,30,1
163,80000.0,2,2,2,27,0
164,30000.0,1,2,1,49,0
165,50000.0,2,3,2,55,0
166,30000.0,2,3,1,37,0
167,260000.0,1,1,1,38,-1
168,210000.0,2,2,1,39,-1
169,200000.0,2,1,2,29,0
170,50000.0,1,1,1,56,-1
171,490000.0,1,3,1,28,0
172,170000.0,1,1,1,45,-1
173,500000.0,1,1,2,29,-1
174,220000.0,1,2,1,46,2
175,150000.0,2,1,2,30,0
176,50000.0,2,2,1,34,2
177,50000.0,1,2,1,52,0
178,100000.0,2,1,2,26,0
179,310000.0,2,2,2,25,0
180,510000.0,2,1,1,35,0
181,200000.0,1,2,1,41,1
182,50000.0,1,3,1,43,0
183,300000.0,2,1,2,38,1
184,450000.0,2,1,1,40,1
185,30000.0,1,2,2,27,-1
186,60000.0,2,1,2,27,-1
187,140000.0,2,2,2,23,2
188,50000.0,2,2,2,32,0
189,90000.0,2,3,2,28,0
190,190000.0,2,2,1,34,0
191,150000.0,2,1,2,29,0
192,390000.0,2,2,2,28,-1
193,30000.0,1,3,1,47,0
194,240000.0,1,1,1,60,2
195,260000.0,2,1,2,29,-1
196,30000.0,1,3,2,25,0
197,500000.0,2,1,2,28,0
198,60000.0,2,2,2,29,2
199,200000.0,1,3,1,30,0
200,80000.0,1,2,1,31,0
201,100000.0,2,2,2,30,1
202,380000.0,1,1,1,42,-1
203,210000.0,1,2,1,30,0
204,10000.0,1,2,2,27,0
205,500000.0,1,2,1,44,0
206,240000.0,2,1,1,37,2
207,270000.0,1,1,2,29,0
208,50000.0,1,2,2,25,0
209,120000.0,2,1,2,36,0
210,280000.0,1,1,2,28,0
211,260000.0,2,1,2,28,0
212,360000.0,1,1,1,38,-1
213,210000.0,2,1,2,30,1
214,390000.0,1,1,2,29,0
215,40000.0,1,2,1,36,0
216,10000.0,2,2,2,27,0
217,120000.0,2,2,1,43,-2
218,200000.0,1,3,1,43,-1
219,80000.0,2,2,1,37,-1
220,60000.0,2,2,2,27,0
221,130000.0,2,2,2,39,2
222,100000.0,2,2,2,29,0
223,20000.0,1,2,1,45,-1
224,460000.0,1,1,2,34,0
225,80000.0,1,2,2,32,1
226,80000.0,1,1,2,26,0
227,240000.0,2,1,2,28,0
228,200000.0,2,3,1,38,0
229,230000.0,1,2,2,29,-2
230,260000.0,2,1,1,53,2
231,90000.0,2,2,1,38,0
232,320000.0,1,2,2,29,0
233,280000.0,2,2,1,47,0
234,120000.0,1,2,2,29,1
235,400000.0,2,1,2,27,1
236,50000.0,2,1,1,55,0
237,10000.0,2,1,2,23,2
238,70000.0,1,2,2,26,0
239,210000.0,1,1,1,30,0
240,140000.0,2,2,1,39,-1
241,290000.0,1,2,1,50,-1
242,30000.0,1,3,1,32,0
243,110000.0,2,1,2,32,1
244,20000.0,2,3,2,54,0
245,220000.0,2,2,1,36,0
246,180000.0,2,2,1,36,-1
247,30000.0,1,1,2,26,4
248,50000.0,2,2,2,31,1
249,150000.0,1,3,1,29,0
250,150000.0,2,1,2,32,0
251,140000.0,1,3,2,30,1
252,80000.0,2,2,1,48,0
253,200000.0,2,1,1,33,0
254,400000.0,1,1,1,44,-1
255,130000.0,2,2,1,28,2
256,50000.0,2,2,2,22,0
257,190000.0,1,2,1,51,0
258,470000.0,2,1,2,40,0
259,280000.0,1,1,1,55,-1
260,460000.0,2,1,2,26,-1
261,340000.0,2,2,2,32,0
262,110000.0,1,2,2,27,0
263,440000.0,2,2,2,27,-1
264,90000.0,2,2,2,23,-2
265,70000.0,2,2,2,24,-2
266,30000.0,2,2,2,24,1
267,120000.0,2,2,2,49,0
268,300000.0,2,2,2,27,-1
269,60000.0,2,1,2,25,0
270,180000.0,1,2,2,36,-1
271,30000.0,2,1,2,43,1
272,360000.0,1,1,2,35,-1
273,150000.0,1,1,1,49,-2
274,70000.0,2,1,2,28,0
275,150000.0,2,2,1,44,0
276,440000.0,2,1,1,33,-2
277,500000.0,1,1,1,52,1
278,260000.0,1,2,2,29,1
279,360000.0,1,1,2,29,1
280,140000.0,1,1,2,28,0
281,10000.0,1,1,2,24,0
282,200000.0,2,1,2,32,-2
283,210000.0,1,2,1,35,0
284,20000.0,1,2,2,27,2
285,240000.0,1,1,1,44,-1
286,30000.0,1,2,2,51,5
287,450000.0,2,2,1,38,-2
288,60000.0,2,3,2,40,-1
289,100000.0,2,2,2,30,0
290,500000.0,1,1,1,49,-1
291,50000.0,1,3,1,51,-1
292,80000.0,2,2,1,35,-1
293,20000.0,2,2,2,22,2
294,500000.0,1,1,2,43,0
295,140000.0,2,1,2,31,0
296,500000.0,2,2,2,29,0
297,50000.0,1,2,2,24,2
298,170000.0,1,1,1,60,0
299,220000.0,2,2,1,44,0
300,70000.0,2,2,1,33,2
301,360000.0,2,2,2,34,0
302,430000.0,2,1,2,29,0
303,20000.0,1,3,2,26,2
304,200000.0,2,3,2,53,-1
305,200000.0,2,2,3,35,-1
306,80000.0,2,2,2,25,0
307,130000.0,1,1,1,35,2
308,150000.0,1,1,1,49,-1
309,150000.0,1,3,1,53,2
310,190000.0,2,2,2,27,2
311,450000.0,2,2,2,36,1
312,80000.0,2,2,1,31,-1
313,260000.0,2,2,2,31,-1
314,80000.0,1,1,2,34,2
315,500000.0,1,1,1,39,1
316,260000.0,1,1,1,43,-1
317,260000.0,2,1,2,30,2
318,50000.0,1,1,2,33,2
319,360000.0,2,1,1,46,1
320,170000.0,2,1,2,53,-2
321,120000.0,2,2,1,34,1
322,50000.0,2,2,1,26,0
323,50000.0,2,1,1,40,-1
324,310000.0,1,1,1,48,0
325,50000.0,1,1,2,27,0
326,140000.0,2,2,2,32,0
327,100000.0,2,2,1,28,2
328,20000.0,1,3,2,32,1
329,120000.0,2,1,2,27,0
330,30000.0,2,3,1,59,0
331,20000.0,1,3,1,27,0
332,160000.0,2,2,2,27,1
333,180000.0,2,2,1,37,1
334,40000.0,2,1,2,26,0
335,80000.0,2,2,1,34,0
336,120000.0,1,2,2,31,3
337,20000.0,2,2,2,22,-1
338,20000.0,1,2,2,33,0
339,100000.0,1,1,1,52,4
340,500000.0,1,1,2,45,1
341,80000.0,2,2,1,29,0
342,150000.0,2,1,2,41,-2
343,30000.0,2,3,2,26,0
344,120000.0,1,1,2,34,1
345,70000.0,2,2,1,27,2
346,150000.0,1,2,1,32,0
347,210000.0,2,2,1,42,1
348,80000.0,2,2,1,30,1
349,90000.0,1,2,2,29,0
350,20000.0,2,2,2,22,0
351,240000.0,2,1,2,36,1
352,50000.0,1,2,2,29,2
353,250000.0,2,1,2,28,0
354,280000.0,2,1,2,31,1
355,10000.0,1,3,0,40,0
356,150000.0,2,2,2,33,-1
357,330000.0,2,2,1,47,1
358,240000.0,1,1,2,30,-1
359,130000.0,2,2,2,34,0
360,450000.0,1,1,2,37,0
361,50000.0,1,1,2,26,-1
362,70000.0,2,3,1,24,0
363,80000.0,1,2,2,26,0
364,50000.0,1,1,2,24,-1
365,30000.0,1,3,1,33,2
366,50000.0,1,2,2,23,0
367,70000.0,1,2,1,29,0
368,50000.0,2,2,2,33,0
369,100000.0,2,3,2,27,0
370,200000.0,2,2,2,24,0
371,180000.0,1,1,2,38,1
372,240000.0,2,1,2,38,-1
373,90000.0,2,3,1,35,2
374,50000.0,2,2,2,33,0
375,80000.0,1,2,2,48,0
376,210000.0,2,1,1,43,-2
377,350000.0,1,3,1,41,0
378,160000.0,1,2,2,45,0
379,70000.0,1,1,2,33,0
380,140000.0,2,1,1,33,1
381,80000.0,1,2,1,47,0
382,110000.0,2,2,1,39,2
383,50000.0,1,2,2,25,0
384,30000.0,1,1,1,38,0
385,30000.0,2,2,2,27,0
386,200000.0,1,2,2,33,0
387,290000.0,2,2,2,28,0
388,220000.0,1,1,2,34,0
389,180000.0,1,1,2,28,0
390,500000.0,1,3,1,38,0
391,210000.0,1,2,1,39,-1
392,100000.0,2,1,2,24,3
393,100000.0,2,2,2,23,0
394,130000.0,2,2,2,25,2
395,10000.0,1,2,2,21,0
396,50000.0,1,2,2,35,-1
397,240000.0,1,1,1,37,0
398,20000.0,2,3,1,53,0
399,20000.0,2,1,1,38,-1
400,150000.0,2,1,2,39,3
401,230000.0,1,2,1,36,-1
402,50000.0,1,2,2,26,-1
403,300000.0,2,2,1,35,0
404,110000.0,2,2,3,54,-1
405,230000.0,2,1,2,33,-2
406,50000.0,2,2,2,30,1
407,70000.0,2,2,2,24,0
408,360000.0,2,1,1,27,-2
409,110000.0,2,2,2,32,0
410,120000.0,2,2,2,48,0
411,200000.0,2,1,1,45,-1
412,260000.0,2,5,1,46,-1
413,290000.0,2,1,1,47,-1
414,20000.0,2,2,2,22,0
415,50000.0,2,3,2,22,0
416,50000.0,2,2,1,23,0
417,60000.0,2,1,2,23,0
418,330000.0,1,1,1,46,-1
419,60000.0,2,2,1,23,0
420,180000.0,2,2,1,25,0
421,80000.0,2,1,2,28,1
422,450000.0,2,1,2,32,1
423,150000.0,2,4,1,36,-2
424,280000.0,2,2,2,28,1
425,180000.0,1,3,2,47,0
426,380000.0,2,3,1,54,-1
427,150000.0,1,2,1,45,-2
428,280000.0,2,1,2,52,-1
429,160000.0,2,2,2,34,-1
430,120000.0,1,2,2,29,0
431,330000.0,2,1,2,34,0
432,210000.0,2,2,1,49,1
433,200000.0,1,1,2,27,1
434,340000.0,2,5,1,27,0
435,200000.0,1,1,2,34,-1
436,160000.0,2,3,1,34,0
437,500000.0,2,2,2,48,-1
438,50000.0,1,2,1,43,0
439,170000.0,2,2,2,23,-1
440,260000.0,2,1,2,29,1
441,360000.0,1,2,1,49,1
442,400000.0,1,1,2,29,0
443,380000.0,2,1,2,32,-1
444,50000.0,1,3,2,29,0
445,130000.0,1,2,1,40,-1
