,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0
0,145922.0,1.0,3.0,2.0,45.0,1.0
1,181003.0,1.0,4.0,2.0,44.0,2.0
2,260299.0,1.0,3.0,2.0,49.0,1.0
3,187256.0,1.0,4.0,2.0,46.0,2.0
4,368380.0,1.0,4.0,2.0,51.0,2.0
5,186301.0,1.0,4.0,2.0,51.0,2.0
6,246608.0,1.0,4.0,3.0,58.0,3.0
7,248606.0,1.0,4.0,2.0,56.0,2.0
8,232690.0,1.0,3.0,2.0,49.0,2.0
9,120936.0,1.0,3.0,2.0,45.0,1.0
10,237369.0,1.0,4.0,2.0,50.0,2.0
11,281303.0,1.0,5.0,2.0,51.0,2.0
12,207041.0,1.0,4.0,2.0,55.0,2.0
13,137693.0,1.0,3.0,1.0,39.0,0.0
14,166353.0,1.0,4.0,2.0,47.0,2.0
15,214982.0,1.0,3.0,2.0,42.0,1.0
16,234119.0,1.0,4.0,2.0,54.0,2.0
17,188864.0,1.0,3.0,2.0,40.0,-0.0
18,169251.0,1.0,3.0,2.0,44.0,1.0
19,133150.0,1.0,4.0,2.0,43.0,1.0
20,87670.0,1.0,2.0,1.0,31.0,-0.0
21,186240.0,1.0,3.0,2.0,43.0,2.0
22,197414.0,1.0,4.0,2.0,55.0,3.0
23,156744.0,1.0,3.0,1.0,39.0,0.0
24,274590.0,1.0,4.0,2.0,50.0,2.0
25,88583.0,1.0,4.0,3.0,56.0,3.0
26,66779.0,1.0,4.0,2.0,46.0,2.0
27,206378.0,1.0,3.0,2.0,48.0,1.0
28,54602.0,1.0,2.0,1.0,34.0,0.0
29,228585.0,1.0,4.0,2.0,50.0,2.0
30,182413.0,1.0,3.0,2.0,48.0,1.0
31,196975.0,1.0,4.0,2.0,45.0,2.0
32,205791.0,1.0,3.0,2.0,43.0,1.0
33,233711.0,1.0,4.0,2.0,42.0,1.0
34,175739.0,1.0,3.0,2.0,44.0,1.0
35,403836.0,1.0,5.0,2.0,51.0,2.0
36,409200.0,1.0,5.0,2.0,52.0,1.0
37,74082.0,1.0,3.0,2.0,47.0,1.0
38,110480.0,1.0,2.0,1.0,40.0,1.0
39,181274.0,1.0,4.0,3.0,60.0,2.0
40,201074.0,1.0,2.0,1.0,37.0,-0.0
41,218033.0,1.0,5.0,2.0,51.0,3.0
42,143996.0,1.0,2.0,1.0,33.0,-0.0
43,362840.0,1.0,4.0,2.0,54.0,2.0
44,173118.0,1.0,5.0,3.0,60.0,3.0
45,93695.0,1.0,4.0,2.0,44.0,2.0
