,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,def_pay
0,200000.0,2,2,1,36,-1,1
1,280000.0,1,1,1,45,-1,1
2,80000.0,2,3,1,39,-1,0
3,280000.0,2,1,2,29,-1,0
4,130000.0,2,2,2,23,2,0
5,160000.0,2,2,1,49,0,0
6,20000.0,2,2,2,23,2,1
7,300000.0,2,2,2,32,0,0
8,100000.0,2,1,2,32,0,0
9,130000.0,1,2,1,38,-1,0
10,500000.0,1,1,1,55,2,1
11,200000.0,2,2,1,27,1,1
12,360000.0,2,1,2,30,0,0
13,20000.0,2,2,1,26,1,1
14,400000.0,1,2,2,29,1,0
15,200000.0,2,3,1,52,1,0
16,30000.0,2,5,1,60,0,0
17,30000.0,1,2,1,58,-1,1
18,50000.0,1,2,1,55,1,0
19,230000.0,2,1,1,51,-1,1
20,210000.0,2,1,1,36,1,1
21,50000.0,2,1,2,49,2,1
22,170000.0,2,5,1,33,0,0
23,230000.0,1,1,1,44,-1,0
24,230000.0,2,1,2,48,0,0
25,350000.0,2,1,1,36,0,0
26,170000.0,2,1,2,36,-1,0
27,150000.0,2,2,1,36,2,0
28,90000.0,2,2,1,27,-1,0
29,320000.0,2,1,2,33,-2,0
30,120000.0,2,2,2,45,0,0
31,20000.0,2,3,1,56,2,0
32,280000.0,2,1,1,41,2,0
33,90000.0,2,2,2,28,0,0
34,450000.0,1,1,1,30,0,0
35,270000.0,1,2,2,27,0,0
36,80000.0,2,2,1,41,0,0
37,230000.0,2,2,1,41,0,0
38,50000.0,2,2,1,30,-1,1
39,250000.0,1,1,1,48,0,1
40,220000.0,2,1,2,42,-1,0
41,30000.0,2,1,1,38,0,0
42,120000.0,1,2,2,68,2,1
43,100000.0,2,2,2,26,0,0
44,150000.0,2,1,2,25,3,1
45,670000.0,1,1,2,28,0,0
46,200000.0,1,1,1,36,-1,0
47,70000.0,2,3,1,47,0,0
48,50000.0,2,2,1,41,1,0
49,80000.0,2,2,2,64,2,1
50,10000.0,1,1,2,23,2,1
51,140000.0,2,1,1,37,0,1
52,30000.0,2,2,2,21,0,0
53,200000.0,1,2,2,36,0,1
54,90000.0,2,2,2,24,0,1
55,130000.0,2,2,1,52,1,0
56,160000.0,2,2,2,26,-1,0
57,150000.0,2,3,1,58,-2,0
58,150000.0,2,1,2,34,-2,0
59,20000.0,1,1,2,24,-1,0
60,80000.0,2,1,2,26,-1,1
61,460000.0,1,2,1,31,0,0
62,60000.0,2,3,1,40,1,1
63,50000.0,1,2,1,38,0,1
64,200000.0,2,3,1,35,0,1
65,60000.0,2,2,1,30,0,0
66,200000.0,1,1,1,31,-1,0
67,230000.0,1,1,1,33,0,0
68,50000.0,1,2,1,38,0,0
69,60000.0,2,3,2,51,0,0
70,180000.0,1,2,1,47,-1,1
71,50000.0,2,2,1,47,0,0
72,150000.0,1,3,1,62,1,0
73,140000.0,2,2,1,36,-1,1
74,120000.0,1,1,1,35,1,1
75,200000.0,2,1,1,39,0,0
76,500000.0,1,1,2,31,1,0
77,120000.0,2,2,1,36,2,1
78,500000.0,1,1,2,28,-2,0
79,50000.0,2,3,2,23,0,0
80,30000.0,2,3,2,51,0,0
81,240000.0,1,1,1,35,-2,0
82,170000.0,2,2,1,37,1,0
83,80000.0,1,1,2,26,1,0
84,360000.0,1,1,2,29,-1,0
85,50000.0,2,2,2,24,2,1
86,70000.0,2,2,1,27,2,1
87,250000.0,2,2,1,29,2,1
88,150000.0,2,1,1,39,1,1
89,100000.0,2,2,1,41,-2,0
90,360000.0,1,1,2,32,-2,0
91,30000.0,2,3,1,47,-2,0
92,490000.0,1,1,1,29,-1,1
93,180000.0,2,2,1,60,2,1
94,420000.0,2,1,1,36,-1,0
95,20000.0,1,1,2,33,2,1
96,480000.0,1,1,1,47,0,0
97,350000.0,1,1,2,27,1,0
98,360000.0,1,2,1,57,1,1
99,240000.0,2,1,2,27,-2,0
100,280000.0,2,1,2,30,-1,1
101,150000.0,2,2,1,39,0,0
102,320000.0,1,2,2,30,0,0
103,20000.0,2,2,2,22,-1,1
104,50000.0,2,3,1,36,0,1
105,280000.0,1,1,2,33,0,0
106,450000.0,2,2,1,53,-2,0
107,260000.0,2,1,2,53,0,0
108,500000.0,1,1,1,56,0,0
109,470000.0,1,1,2,35,0,0
110,150000.0,2,2,2,23,0,0
111,100000.0,2,3,1,46,0,0
112,100000.0,1,1,2,38,1,0
113,220000.0,1,2,2,39,-1,0
114,300000.0,2,1,2,37,1,0
115,230000.0,2,1,2,31,-2,0
116,300000.0,2,3,2,39,1,1
117,50000.0,1,3,2,48,0,0
118,170000.0,1,3,1,47,-2,0
119,460000.0,1,1,1,41,-1,1
120,30000.0,2,1,2,34,1,1
121,30000.0,2,1,2,24,-1,1
122,20000.0,1,2,1,42,0,1
123,220000.0,1,3,1,44,-1,0
124,70000.0,2,1,1,62,0,0
125,330000.0,2,2,2,40,2,0
126,370000.0,1,1,1,40,1,1
127,230000.0,1,1,2,28,-2,0
128,50000.0,1,3,1,49,0,0
129,360000.0,1,2,2,31,0,1
130,390000.0,2,2,2,37,0,0
131,360000.0,2,2,3,42,0,0
132,30000.0,2,2,1,27,0,1
133,500000.0,1,1,1,33,1,0
134,120000.0,2,3,2,32,0,0
135,360000.0,1,1,2,29,-2,1
136,20000.0,2,2,1,27,0,0
137,50000.0,2,2,1,48,0,0
138,230000.0,2,1,2,27,1,0
139,160000.0,2,1,1,48,1,0
140,110000.0,2,1,1,32,2,1
141,50000.0,1,2,2,25,2,0
142,30000.0,1,3,2,28,2,1
143,50000.0,1,2,2,35,0,1
144,240000.0,2,3,1,37,-2,0
145,90000.0,1,3,2,29,0,0
146,150000.0,2,1,1,29,-1,1
147,100000.0,2,2,1,35,3,1
148,70000.0,2,1,2,24,2,1
149,430000.0,2,2,2,27,-2,1
150,150000.0,1,1,2,31,0,0
151,50000.0,1,1,2,48,0,0
152,200000.0,1,1,2,33,-2,1
153,150000.0,2,2,1,28,0,0
154,50000.0,1,2,2,25,0,0
155,300000.0,1,1,2,31,0,0
156,50000.0,2,2,1,44,0,0
157,30000.0,1,1,2,30,1,1
158,380000.0,1,1,1,53,1,0
159,70000.0,2,1,1,45,1,0
160,360000.0,1,2,2,28,0,0
161,50000.0,1,2,2,41,0,0
162,20000.0,2,1,2,30,1,0
163,80000.0,2,2,2,27,0,0
164,30000.0,1,2,1,49,0,0
165,50000.0,2,3,2,55,0,0
166,30000.0,2,3,1,37,0,0
167,260000.0,1,1,1,38,-1,1
168,210000.0,2,2,1,39,-1,0
169,200000.0,2,1,2,29,0,0
170,50000.0,1,1,1,56,-1,1
171,490000.0,1,3,1,28,0,0
172,170000.0,1,1,1,45,-1,0
173,500000.0,1,1,2,29,-1,0
174,220000.0,1,2,1,46,2,0
175,150000.0,2,1,2,30,0,0
176,50000.0,2,2,1,34,2,0
177,50000.0,1,2,1,52,0,0
178,100000.0,2,1,2,26,0,0
179,310000.0,2,2,2,25,0,0
180,510000.0,2,1,1,35,0,0
181,200000.0,1,2,1,41,1,0
182,50000.0,1,3,1,43,0,0
183,300000.0,2,1,2,38,1,0
184,450000.0,2,1,1,40,1,0
185,30000.0,1,2,2,27,-1,0
186,60000.0,2,1,2,27,-1,0
187,140000.0,2,2,2,23,2,1
188,50000.0,2,2,2,32,0,0
189,90000.0,2,3,2,28,0,0
190,190000.0,2,2,1,34,0,0
191,150000.0,2,1,2,29,0,0
192,390000.0,2,2,2,28,-1,0
193,30000.0,1,3,1,47,0,0
194,240000.0,1,1,1,60,2,1
195,260000.0,2,1,2,29,-1,1
196,30000.0,1,3,2,25,0,0
197,500000.0,2,1,2,28,0,0
198,60000.0,2,2,2,29,2,0
199,200000.0,1,3,1,30,0,0
200,80000.0,1,2,1,31,0,0
201,100000.0,2,2,2,30,1,0
202,380000.0,1,1,1,42,-1,0
203,210000.0,1,2,1,30,0,1
204,10000.0,1,2,2,27,0,1
205,500000.0,1,2,1,44,0,0
206,240000.0,2,1,1,37,2,1
207,270000.0,1,1,2,29,0,0
208,50000.0,1,2,2,25,0,0
209,120000.0,2,1,2,36,0,0
210,280000.0,1,1,2,28,0,0
211,260000.0,2,1,2,28,0,0
212,360000.0,1,1,1,38,-1,0
213,210000.0,2,1,2,30,1,0
214,390000.0,1,1,2,29,0,0
215,40000.0,1,2,1,36,0,0
216,10000.0,2,2,2,27,0,0
217,120000.0,2,2,1,43,-2,1
218,200000.0,1,3,1,43,-1,0
219,80000.0,2,2,1,37,-1,0
220,60000.0,2,2,2,27,0,0
221,130000.0,2,2,2,39,2,1
222,100000.0,2,2,2,29,0,0
223,20000.0,1,2,1,45,-1,0
224,460000.0,1,1,2,34,0,0
225,80000.0,1,2,2,32,1,0
226,80000.0,1,1,2,26,0,0
227,240000.0,2,1,2,28,0,0
228,200000.0,2,3,1,38,0,0
229,230000.0,1,2,2,29,-2,0
230,260000.0,2,1,1,53,2,0
231,90000.0,2,2,1,38,0,0
232,320000.0,1,2,2,29,0,0
233,280000.0,2,2,1,47,0,0
234,120000.0,1,2,2,29,1,1
235,400000.0,2,1,2,27,1,0
236,50000.0,2,1,1,55,0,0
237,10000.0,2,1,2,23,2,1
238,70000.0,1,2,2,26,0,0
239,210000.0,1,1,1,30,0,0
240,140000.0,2,2,1,39,-1,0
241,290000.0,1,2,1,50,-1,0
242,30000.0,1,3,1,32,0,0
243,110000.0,2,1,2,32,1,1
244,20000.0,2,3,2,54,0,0
245,220000.0,2,2,1,36,0,0
246,180000.0,2,2,1,36,-1,0
247,30000.0,1,1,2,26,4,1
248,50000.0,2,2,2,31,1,0
249,150000.0,1,3,1,29,0,0
250,150000.0,2,1,2,32,0,0
251,140000.0,1,3,2,30,1,0
252,80000.0,2,2,1,48,0,0
253,200000.0,2,1,1,33,0,0
254,400000.0,1,1,1,44,-1,0
255,130000.0,2,2,1,28,2,0
256,50000.0,2,2,2,22,0,0
257,190000.0,1,2,1,51,0,1
258,470000.0,2,1,2,40,0,1
259,280000.0,1,1,1,55,-1,0
260,460000.0,2,1,2,26,-1,0
261,340000.0,2,2,2,32,0,0
262,110000.0,1,2,2,27,0,0
263,440000.0,2,2,2,27,-1,0
264,90000.0,2,2,2,23,-2,0
265,70000.0,2,2,2,24,-2,0
266,30000.0,2,2,2,24,1,0
267,120000.0,2,2,2,49,0,0
268,300000.0,2,2,2,27,-1,0
269,60000.0,2,1,2,25,0,0
270,180000.0,1,2,2,36,-1,1
271,30000.0,2,1,2,43,1,1
272,360000.0,1,1,2,35,-1,0
273,150000.0,1,1,1,49,-2,0
274,70000.0,2,1,2,28,0,0
275,150000.0,2,2,1,44,0,0
276,440000.0,2,1,1,33,-2,0
277,500000.0,1,1,1,52,1,0
278,260000.0,1,2,2,29,1,1
279,360000.0,1,1,2,29,1,0
280,140000.0,1,1,2,28,0,0
281,10000.0,1,1,2,24,0,1
282,200000.0,2,1,2,32,-2,0
283,210000.0,1,2,1,35,0,0
284,20000.0,1,2,2,27,2,1
285,240000.0,1,1,1,44,-1,0
286,30000.0,1,2,2,51,5,1
287,450000.0,2,2,1,38,-2,0
288,60000.0,2,3,2,40,-1,0
289,100000.0,2,2,2,30,0,0
290,500000.0,1,1,1,49,-1,0
291,50000.0,1,3,1,51,-1,0
292,80000.0,2,2,1,35,-1,0
293,20000.0,2,2,2,22,2,1
294,500000.0,1,1,2,43,0,0
295,140000.0,2,1,2,31,0,0
296,500000.0,2,2,2,29,0,0
297,50000.0,1,2,2,24,2,1
298,170000.0,1,1,1,60,0,1
299,220000.0,2,2,1,44,0,0
300,70000.0,2,2,1,33,2,1
301,360000.0,2,2,2,34,0,0
302,430000.0,2,1,2,29,0,0
303,20000.0,1,3,2,26,2,0
304,200000.0,2,3,2,53,-1,0
305,200000.0,2,2,3,35,-1,0
306,80000.0,2,2,2,25,0,0
307,130000.0,1,1,1,35,2,0
308,150000.0,1,1,1,49,-1,0
309,150000.0,1,3,1,53,2,1
310,190000.0,2,2,2,27,2,1
311,450000.0,2,2,2,36,1,1
312,80000.0,2,2,1,31,-1,0
313,260000.0,2,2,2,31,-1,0
314,80000.0,1,1,2,34,2,1
315,500000.0,1,1,1,39,1,0
